date,open,close,high,low,涨跌幅,涨跌额,volume,成交额,振幅,换手率,ma50,ma200
2026-01-07 13:25:00,5.42,5.42,5.42,5.41,0.0,0.0,3453.0,1886253.0,0.18,0.0,,
2026-01-07 13:30:00,5.42,5.41,5.42,5.4,-0.18,-0.01,11491.0,6273886.0,0.37,0.0,,
2026-01-07 13:35:00,5.41,5.41,5.41,5.4,0.0,0.0,987.0,538574.0,0.18,0.0,,
2026-01-07 13:40:00,5.4,5.4,5.41,5.4,-0.18,-0.01,1767.0,964166.0,0.18,0.0,,
2026-01-07 13:45:00,5.4,5.4,5.41,5.4,0.0,0.0,5798.0,3160980.0,0.19,0.0,,
2026-01-07 13:50:00,5.4,5.4,5.41,5.4,0.0,0.0,2120.0,1156563.0,0.19,0.0,,
2026-01-07 13:55:00,5.41,5.4,5.41,5.4,0.0,0.0,1367.0,745916.0,0.19,0.0,,
2026-01-07 14:00:00,5.41,5.4,5.41,5.4,0.0,0.0,2627.0,1433716.0,0.19,0.0,,
2026-01-07 14:05:00,5.41,5.4,5.41,5.4,0.0,0.0,4904.0,2677087.0,0.19,0.0,,
2026-01-07 14:10:00,5.41,5.41,5.41,5.4,0.19,0.01,2088.0,1139599.0,0.19,0.0,,
2026-01-07 14:15:00,5.41,5.42,5.42,5.4,0.18,0.01,4937.0,2694944.0,0.37,0.0,,
2026-01-07 14:20:00,5.42,5.4,5.42,5.4,-0.37,-0.02,4967.0,2712182.0,0.37,0.0,,
2026-01-07 14:25:00,5.4,5.41,5.41,5.4,0.19,0.01,3015.0,1644401.0,0.19,0.0,,
2026-01-07 14:30:00,5.41,5.41,5.41,5.4,0.0,0.0,2707.0,1477190.0,0.18,0.0,,
2026-01-07 14:35:00,5.41,5.4,5.41,5.4,-0.18,-0.01,3058.0,1668628.0,0.18,0.0,,
2026-01-07 14:40:00,5.4,5.41,5.42,5.4,0.19,0.01,19828.0,10826895.0,0.37,0.01,,
2026-01-07 14:45:00,5.41,5.41,5.42,5.4,0.0,0.0,5562.0,3037719.0,0.37,0.0,,
2026-01-07 14:50:00,5.41,5.4,5.42,5.4,-0.18,-0.01,3658.0,1995883.0,0.37,0.0,,
2026-01-07 14:55:00,5.4,5.41,5.41,5.4,0.19,0.01,5248.0,2863092.0,0.19,0.0,,
2026-01-07 15:00:00,5.41,5.4,5.41,5.4,-0.18,-0.01,4951.0,2700398.0,0.18,0.0,,
2026-01-08 09:35:00,5.41,5.41,5.42,5.4,0.19,0.01,13941.0,7607762.0,0.37,0.01,,
2026-01-08 09:40:00,5.4,5.42,5.42,5.4,0.18,0.01,7236.0,3951110.0,0.37,0.0,,
2026-01-08 09:45:00,5.41,5.42,5.42,5.4,0.0,0.0,5838.0,3188553.0,0.37,0.0,,
2026-01-08 09:50:00,5.41,5.41,5.42,5.41,-0.18,-0.01,7085.0,3871556.0,0.18,0.0,,
2026-01-08 09:55:00,5.41,5.41,5.42,5.41,0.0,0.0,2410.0,1316649.0,0.18,0.0,,
2026-01-08 10:00:00,5.41,5.42,5.42,5.41,0.18,0.01,8995.0,4912547.0,0.18,0.0,,
2026-01-08 10:05:00,5.42,5.41,5.42,5.41,-0.18,-0.01,5452.0,2977519.0,0.18,0.0,,
2026-01-08 10:10:00,5.41,5.4,5.42,5.4,-0.18,-0.01,3681.0,2010009.0,0.37,0.0,,
2026-01-08 10:15:00,5.4,5.4,5.41,5.4,0.0,0.0,2067.0,1127638.0,0.19,0.0,,
2026-01-08 10:20:00,5.4,5.4,5.41,5.4,0.0,0.0,2604.0,1420626.0,0.19,0.0,,
2026-01-08 10:25:00,5.4,5.4,5.41,5.4,0.0,0.0,1884.0,1027955.0,0.19,0.0,,
2026-01-08 10:30:00,5.41,5.41,5.41,5.4,0.19,0.01,4185.0,2282031.0,0.19,0.0,,
2026-01-08 10:35:00,5.41,5.4,5.41,5.4,-0.18,-0.01,2018.0,1100262.0,0.18,0.0,,
2026-01-08 10:40:00,5.4,5.41,5.41,5.4,0.19,0.01,1774.0,967607.0,0.19,0.0,,
2026-01-08 10:45:00,5.41,5.4,5.41,5.4,-0.18,-0.01,1982.0,1080963.0,0.18,0.0,,
2026-01-08 10:50:00,5.41,5.4,5.41,5.4,0.0,0.0,1543.0,841522.0,0.19,0.0,,
2026-01-08 10:55:00,5.4,5.4,5.41,5.4,0.0,0.0,2445.0,1333281.0,0.19,0.0,,
2026-01-08 11:00:00,5.4,5.4,5.41,5.4,0.0,0.0,2570.0,1401962.0,0.19,0.0,,
2026-01-08 11:05:00,5.4,5.41,5.41,5.4,0.19,0.01,2391.0,1303504.0,0.19,0.0,,
2026-01-08 11:10:00,5.4,5.4,5.41,5.4,-0.18,-0.01,1730.0,943174.0,0.18,0.0,,
2026-01-08 11:15:00,5.4,5.41,5.41,5.4,0.19,0.01,1304.0,711032.0,0.19,0.0,,
2026-01-08 11:20:00,5.4,5.4,5.41,5.4,-0.18,-0.01,1594.0,869242.0,0.18,0.0,,
2026-01-08 11:25:00,5.41,5.41,5.41,5.4,0.19,0.01,4924.0,2683723.0,0.19,0.0,,
2026-01-08 11:30:00,5.41,5.41,5.41,5.4,0.0,0.0,2847.0,1552516.0,0.18,0.0,,
2026-01-08 13:05:00,5.41,5.4,5.41,5.4,-0.18,-0.01,6278.0,3422610.0,0.18,0.0,,
2026-01-08 13:10:00,5.4,5.41,5.41,5.4,0.19,0.01,13771.0,7518499.0,0.19,0.01,,
2026-01-08 13:15:00,5.4,5.41,5.41,5.4,0.0,0.0,1613.0,879956.0,0.18,0.0,,
2026-01-08 13:20:00,5.4,5.41,5.41,5.4,0.0,0.0,1077.0,587699.0,0.18,0.0,,
2026-01-08 13:25:00,5.4,5.41,5.41,5.4,0.0,0.0,1971.0,1075261.0,0.18,0.0,,
2026-01-08 13:30:00,5.41,5.41,5.41,5.4,0.0,0.0,1519.0,828858.0,0.18,0.0,5.4066,
2026-01-08 13:35:00,5.41,5.41,5.41,5.4,0.0,0.0,1651.0,900769.0,0.18,0.0,5.4064,
2026-01-08 13:40:00,5.4,5.41,5.41,5.4,0.0,0.0,2067.0,1127541.0,0.18,0.0,5.406400000000001,
2026-01-08 13:45:00,5.41,5.41,5.41,5.4,0.0,0.0,9005.0,4908450.0,0.18,0.0,5.4064,
2026-01-08 13:50:00,5.4,5.4,5.41,5.4,-0.18,-0.01,1748.0,953473.0,0.18,0.0,5.406400000000001,
2026-01-08 13:55:00,5.41,5.4,5.41,5.4,0.0,0.0,1939.0,1058140.0,0.19,0.0,5.4064,
2026-01-08 14:00:00,5.4,5.4,5.41,5.4,0.0,0.0,3710.0,2024912.0,0.19,0.0,5.4064,
2026-01-08 14:05:00,5.41,5.42,5.42,5.4,0.37,0.02,14846.0,8106879.0,0.37,0.01,5.4068000000000005,
2026-01-08 14:10:00,5.42,5.41,5.42,5.41,-0.18,-0.01,5833.0,3185374.0,0.18,0.0,5.407,
2026-01-08 14:15:00,5.42,5.4,5.42,5.4,-0.18,-0.01,6578.0,3588570.0,0.37,0.0,5.407,
2026-01-08 14:20:00,5.4,5.41,5.41,5.4,0.19,0.01,5678.0,3096088.0,0.19,0.0,5.407,
2026-01-08 14:25:00,5.4,5.41,5.41,5.4,0.0,0.0,1855.0,1012193.0,0.18,0.0,5.4068,
